Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Nikka Yoichi 12 Single Malt","12 yrs","N/A","Nikka","Nikka","$95","45","Japan","Overseas Wide","Japan","Japanese","Single Malt",
"Willett 8 yo Barrel 374 (The Party Source)","8 yrs","2001","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$48","62.3","Kentucky","Specialty Stores","USA","American","Bourbon",
"Glen Ord 1987 SMWS 77.18","22 yrs","1987","Glen Ord","The Scotch Malt Whisky Society","$140","58.8","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Sazerac 18 (2000)","18 yrs","N/A","Buffalo Trace","Buffalo Trace","N/A","45","Kentucky","Collectors Only","USA","American","Rye",
"George T. Stagg 2012","16 yrs","1995","Buffalo Trace","Buffalo Trace","$75","71.4","Kentucky","Specialty Stores","USA","American","Bourbon",
"Aberlour-Glenlivet 1970 Signatory Vintage","19 yrs","1970","Aberlour","Signatory","N/A","46","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Glenrothes 1975","31 yrs","1975","Glenrothes","Glenrothes","$400","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Braes of Glenlivet 1979 Signatory","16 yrs","1979","Braes of Glenlivet","Signatory","N/A","60.4","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Grant 1972 Hart Brothers","29 yrs","N/A","Glen Grant","Hart Brothers","$160","53.6","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Dallas Dhu 1979 Signatory (#1390)","25 yrs","1979","Dallas Dhu","Signatory","$250","60.6","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Linkwood 15","15 yrs","N/A","Linkwood","Gordon & MacPhail","$75","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Dallas Dhu 1976 Old Malt Cask","28 yrs","1976","Dallas Dhu","Douglas Laing","$215","50","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Lagavulin 1989 Distillers Edition","16 yrs","1989","Lagavulin","Lagavulin","$106","43","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Longrow 10 1995","10 yrs","1995","Longmorn","Longrow","$80","46","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Old Forester","N/A","N/A","Brown-Forman","Brown-Forman","$20","43","Kentucky","Wide","USA","American","Bourbon",
"Auchentoshan 1965 Cask 2497","31 yrs","1965","Auchentoshan","Auchentoshan","N/A","55.1","Lowland","Collectors Only","Scotland","Scotch","Single Malt",
"Laphroaig 10 Cask Strength Batch 003","10 yrs","N/A","Laphroaig","Laphroaig","$60","55.3","Islay","Better Stores","Scotland","Scotch","Single Malt",
"Kinclaith 1969 Signatory","35 yrs","1969","Kinclaith","Signatory","$1600","51.3","Lowland","Specialty Stores","Scotland","Scotch","Single Malt",
"Carsebridge 1965 Clan Deny","45 yrs","1965","Carsebridge","Clan Deny","$175","44.7","N/A","Specialty Stores","Scotland","Scotch","Grain",
"Caol Ila 1989 Signatory","11 yrs","1989","Caol Ila","Signatory","N/A","43","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Old Rip Van Winkle Decanter 1977","7 yrs","N/A","Buffalo Trace","Old Rip Van Winkle","N/A","43","Kentucky","Collectors Only","USA","American","Bourbon",
"Bunnahabhain 1988 Malt Trust","17 yrs","1988","Bunnahabhain","Malt Trust","$125","53.3","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Ardbeg 1979 Connoisseurs Choice ","26 yrs","1979","Ardbeg","Gordon & MacPhail","$200","43","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Ardbeg 'The Ardbeggeddon' 1972 Old Malt Cask for PLOWED","29 yrs","1972","Ardbeg","Douglas Laing","N/A","48.4","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Old Weller Antique (1789b #6)","8 yrs","N/A","Buffalo Trace","Buffalo Trace","N/A","53.5","Kentucky","Collectors Only","USA","American","Bourbon",
"Caol Ila 1984 Bladnoch","25 yrs","1984","Caol Ila","Bladnoch","N/A","54.1","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Dalmore 1974","N/A","1974","Dalmore","Dalmore","$1250","42","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Bruichladdich 10","10 yrs","N/A","Bruichladdich","Bruichladdich","$55","46","Islay","Wide","Scotland","Scotch","Single Malt",
"Glen Grant 1972 The Whisky Fair","36 yrs","1972","Glen Grant","The Whisky Fair","N/A","56.3","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Hanyu 1991 Ichiro's Malt Eight of Diamonds","18 yrs","1991","Hanyu","Venture Whisky","N/A","57.1","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Pendleton ","N/A","N/A","N/A","Hood River Distillers","$25","40","Canada","Wide","Canada","Canadian","Blend",
"Bowmore 16 1991 Cask Strength","16 yrs","1991","Bowmore","Bowmore","$95","53.1","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenrothes 25","25 yrs","N/A","Glenrothes","Glenrothes","$230","0","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 163","8 yrs","2002","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Woodford Reserve New Cask Rye","N/A","N/A","Brown-Forman","Brown-Forman","$90","46.2","Kentucky","Specialty Stores","USA","American","Rye",
"Springbank 1968 Chieftain's (Cask 1542)","39 yrs","1968","Springbank","Ian Macleod","$470","43","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace White Dog (Mash #1)","0 yrs","N/A","Buffalo Trace","Buffalo Trace","$17","62.5","Kentucky","Specialty Stores","USA","American","Other",
"Glenmorangie Nectar D'Or","N/A","N/A","Glenmorangie","Glenmorangie","$65","46","Highland","Wide","Scotland","Scotch","Single Malt",
"Ardbeg 1998 Chieftain's","12 yrs","1998","Ardbeg","Ian Macleod","$85","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Laphroaig 18","18 yrs","N/A","Laphroaig","Laphroaig","$115","48","Islay","Wide","Scotland","Scotch","Single Malt",
"Port Ellen 1979 DL Platinum June","30 yrs","1979","Port Ellen","Douglas Laing","$405","52.6","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Macallan 1987 Old Malt Cask","20 yrs","1987","Macallan","Douglas Laing","$270","50","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Thomas H. Handy Sazerac (2006)","6 yrs","1998","Buffalo Trace","Buffalo Trace","N/A","66.35","Kentucky","Collectors Only","USA","American","Rye",
"Glenburgie 10","10 yrs","N/A","Glenburgie","Glenburgie","$35","40","Speyside","Wide","Scotland","Scotch","Single Malt",
"Four Roses Single Barrel OBSK (K&L)","10 yrs","N/A","Four Roses ","Four Roses ","$60","56.2","Kentucky","Specialty Stores","USA","American","Bourbon",
"Macallan 7","7 yrs","N/A","Macallan","Macallan","$40","40","Speyside","Overseas Wide","Scotland","Scotch","Single Malt",
"Glenmorangie 15","15 yrs","N/A","Glenmorangie","Glenmorangie","$65","40","Highland","Wide","Scotland","Scotch","Single Malt",
"Willett 6 yo Barrel 3696 (The Party Source)","6 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$40","63.3","Kentucky","Specialty Stores","USA","American","Bourbon",
"Cragganmore 12","12 yrs","N/A","Cragganmore","Cragganmore","$50","40","Speyside","Wide","Scotland","Scotch","Single Malt",
